,Pre-1973,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notice,notice,notice,notice,notice
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
AR,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
CA,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
GA,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent
IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notice,notice,notice,notice,notice,notice,notice
IN,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
IA,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
KS,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
KY,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
LA,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
ME,,,,,,,,,,,,,,,,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
MD,,,,,,,,,,,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
MA,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MI,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MN,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
MS,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MO,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notice,notice,notice
NE,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NV,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notice,notice,notice,notice,notice
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NM,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
ND,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
OH,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
