,Current,Pre-1973,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks
AK,12 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks
AZ,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks,20 weeks
AR,12 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 weeks,12 weeks
CA,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,24 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks
GA,12 weeks,,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks
HI,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,12 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 weeks,12 weeks,12 weeks,12 weeks
IL,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks,20 weeks,20 weeks
IA,3rd trimester ,,,,,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,attempt to restrict to 12 weeks,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester ,3rd trimester 
KS,22 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 weeks,22 weeks,22 weeks,22 weeks
KY,12 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks,12 weeks
LA,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks,20 weeks
ME,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,24 weeks,,,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks
MI,Viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability
MN,24 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks
MS,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks
MO,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viability
MT,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks
NV,24 weeks,,,,,,,,,,,,,,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks
NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks,24 weeks
NC,20 weeks,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks,20 weeks
ND,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 weeks,20 weeks
OH,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability
OK,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viability,viability,viability,viability
OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,24 Weeks,,,,,,,,,,,,,,,,,,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks
RI,24 Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks
SC,3rd Trimester,,,,,,,,,,,,,,,,,,,,,,,,,,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester,3rd Trimester
SD,24 Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks,24 Weeks
TN,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability
TX,20 Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 Weeks,20 Weeks
UT,Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability,viability
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,3rd trimester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester,3rd trimester
